0, 137, 1, 5161, 0.0002021626871808106, 1
1, 16, 1, 3187, 2.7696828962108633e-05, 1
2, 25, 1, 6209, 0.00033650227020585517, 1
3, 21, 1, 7776, 8.410868236373996e-05, 1
4, 14, 1, 2939, 0.0019369216951489647, 1
5, 36, 1, 8938, 0.0001570057654371042, 1
6, 78, 1, 2935, 1.2885645368313355e-05, 1
7, 13, 1, 7554, 5.8153767988911855e-05, 1
8, 16, 1, 5909, 1.55422778710684e-05, 1
9, 82, 1, 6725, 0.00030389855059868626, 1
10, 22, 1, 3167, 2.0299557207413114e-05, 1
11, 14, 1, 6605, 1.3995840371222594e-05, 1
12, 108, 1, 3416, 0.003557015433433999, 1
13, 16, 1, 8769, 1.2386333126829029e-05, 1
14, 42, 1, 2959, 5.3871860629354254e-05, 1
15, 17, 1, 19596, 2.6804693490990365e-05, 1
16, 14, 1, 4026, 7.734062658517094e-05, 1
17, 14, 1, 7681, 4.610309079879898e-05, 1
18, 17, 1, 3498, 2.3864589347793156e-05, 1
19, 83, 1, 21574, 0.0019312399629359248, 1
20, 1, 3, 41902, 0.0027370289575963363, 0, [0 3]
21, 1, 4, 15713, 0.012924909641486963, 0, [0 17]
22, 1, 1, 140046, 0.0029447724904892816, 0, [0 19]
23, 1, 3, 12939, 0.007075189432341509, 0, [0 8]
24, 1, 1, 176583, 0.02470188462680286, 0, [0 7]
25, 1, 1, 9076, 0.0029202750189546672, 0, [0 8]
26, 1, 1, 203770, 0.00842176015297881, 0, [0 17]
27, 1, 2, 72065, 0.002231233790283852, 0, [0 12]
28, 1, 1, 197867, 0.0025946350950079794, 0, [1 15]
29, 1, 1, 43585, 0.002441375406276049, 0, [1 15]
30, 1, 1, 35650, 0.005222003256402056, 0, [1 15]
31, 1, 2, 9272, 0.015397184070068334, 0, [1 3]
32, 1, 2, 65869, 0.0041771575177220336, 0, [1 16]
33, 1, 1, 18152, 0.003415469877355059, 0, [1 2]
34, 1, 5, 112292, 0.003114266541832361, 0, [1 0]
35, 1, 2, 23785, 0.0022742303595914334, 0, [1 13]
36, 1, 1, 13372, 0.002456867796522764, 0, [2 18]
37, 1, 1, 28381, 0.029880941059424827, 0, [2 5]
38, 1, 1, 65558, 0.00784798584302649, 0, [3 7]
39, 1, 3, 108339, 0.005414135906171409, 0, [3 16]
40, 1, 1, 8605, 0.0036197529664647727, 0, [3 8]
41, 1, 1, 13302, 0.0027063254785991723, 0, [4 2]
42, 1, 3, 12813, 0.006601475368843539, 0, [4 12]
43, 1, 1, 10856, 0.0022524247678811834, 0, [5 6]
44, 1, 1, 13893, 0.005507755510951525, 0, [5 12]
45, 1, 1, 40219, 0.022326831254777326, 0, [5 2]
46, 1, 1, 8666, 0.0024035868286525846, 0, [5 19]
47, 1, 1, 51286, 0.006208160460331083, 0, [6 10]
48, 1, 1, 69996, 0.0035326170608229045, 0, [6 5]
49, 1, 1, 86202, 0.0030318448894300675, 0, [6 2]
50, 1, 1, 13512, 0.002077898938714339, 0, [6 9]
51, 1, 2, 13718, 0.0033334456200461095, 0, [6 16]
52, 1, 1, 24367, 0.0023110211416587315, 0, [9 19]
53, 1, 1, 32335, 0.013471458849476613, 0, [10 1]
54, 1, 2, 90262, 0.008752791995831646, 0, [11 6]
55, 1, 3, 8544, 0.0024099149825668326, 0, [11 2]
56, 1, 2, 10924, 0.007995504829255783, 0, [13 4]
57, 1, 2, 11462, 0.008048178514692838, 0, [14 1]
58, 1, 1, 12959, 0.015324463367616867, 0, [14 7]
59, 1, 4, 20842, 0.005451445740092347, 0, [15 1]
60, 1, 1, 61530, 0.0047932646610065344, 0, [18 15]
61, 1, 1, 67026, 0.009571567373294235, 0, [18 15]
