0, 137, 1, 5161, 0, 1
1, 16, 1, 3187, 0, 1
2, 25, 1, 6209, 0, 1
3, 21, 1, 7776, 0, 1
4, 14, 1, 2939, 0, 1
5, 36, 1, 8938, 0, 1
6, 78, 1, 2935, 0, 1
7, 13, 1, 7554, 0, 1
8, 16, 1, 5909, 0, 1
9, 82, 1, 6725, 0, 1
10, 22, 1, 3167, 0, 1
11, 14, 1, 6605, 0, 1
12, 108, 1, 3416, 0, 1
13, 16, 1, 8769, 0, 1
14, 42, 1, 2959, 0, 1
15, 17, 1, 19596, 0, 1
16, 14, 1, 4026, 0, 1
17, 14, 1, 7681, 0, 1
18, 17, 1, 3498, 0, 1
19, 83, 1, 21574, 0, 1
20, 1, 3, 41902, 0, 0, [0 3]
21, 1, 4, 15713, 0, 0, [0 17]
22, 1, 1, 140046, 0, 0, [0 19]
23, 1, 3, 12939, 0, 0, [0 8]
24, 1, 1, 176583, 0, 0, [0 7]
25, 1, 1, 9076, 0, 0, [0 8]
26, 1, 1, 203770, 0, 0, [0 17]
27, 1, 2, 72065, 0, 0, [0 12]
28, 1, 1, 197867, 0, 0, [1 15]
29, 1, 1, 43585, 0, 0, [1 15]
30, 1, 1, 35650, 0, 0, [1 15]
31, 1, 2, 9272, 0, 0, [1 3]
32, 1, 2, 65869, 0, 0, [1 16]
33, 1, 1, 18152, 0, 0, [1 2]
34, 1, 5, 112292, 0, 0, [1 0]
35, 1, 2, 23785, 0, 0, [1 13]
36, 1, 1, 13372, 0, 0, [2 18]
37, 1, 1, 28381, 0, 0, [2 5]
38, 1, 1, 65558, 0, 0, [3 7]
39, 1, 3, 108339, 0, 0, [3 16]
40, 1, 1, 8605, 0, 0, [3 8]
41, 1, 1, 13302, 0, 0, [4 2]
42, 1, 3, 12813, 0, 0, [4 12]
43, 1, 1, 10856, 0, 0, [5 6]
44, 1, 1, 13893, 0, 0, [5 12]
45, 1, 1, 40219, 0, 0, [5 2]
46, 1, 1, 8666, 0, 0, [5 19]
47, 1, 1, 51286, 0, 0, [6 10]
48, 1, 1, 69996, 0, 0, [6 5]
49, 1, 1, 86202, 0, 0, [6 2]
50, 1, 1, 13512, 0, 0, [6 9]
51, 1, 2, 13718, 0, 0, [6 16]
52, 1, 1, 24367, 0, 0, [9 19]
53, 1, 1, 32335, 0, 0, [10 1]
54, 1, 2, 90262, 0, 0, [11 6]
55, 1, 3, 8544, 0, 0, [11 2]
56, 1, 2, 10924, 0, 0, [13 4]
57, 1, 2, 11462, 0, 0, [14 1]
58, 1, 1, 12959, 0, 0, [14 7]
59, 1, 4, 20842, 0, 0, [15 1]
60, 1, 1, 61530, 0, 0, [18 15]
61, 1, 1, 67026, 0, 0, [18 15]
